Customer_ID,Customer_Region,Customer_Country,Customer_City,Customer_Segment
CUST00001,Middle East,UAE,Dubai,E-commerce
CUST00002,Asia,Singapore,Singapore,Retail
CUST00003,South America,Brazil,São Paulo,Retail
CUST00004,Asia,South Korea,Seoul,Corporate
CUST00005,Middle East,UAE,Abu Dhabi,Corporate
CUST00006,Europe,Germany,Berlin,Retail
CUST00007,North America,Canada,Vancouver,E-commerce
CUST00008,Asia,China,Beijing,Corporate
CUST00009,South America,Argentina,Buenos Aires,Wholesale
CUST00010,North America,Mexico,Guadalajara,Wholesale
CUST00011,Europe,Italy,Milan,Retail
CUST00012,North America,USA,Chicago,Wholesale
CUST00013,South America,Brazil,São Paulo,E-commerce
CUST00014,Europe,Italy,Milan,Corporate
CUST00015,North America,Canada,Vancouver,Corporate
CUST00016,North America,Mexico,Mexico City,Wholesale
CUST00017,South America,Argentina,Buenos Aires,Retail
CUST00018,Europe,Italy,Rome,Retail
CUST00019,Europe,Spain,Barcelona,Retail
CUST00020,Europe,France,Paris,Corporate
CUST00021,Asia,India,Hyderabad,Corporate
CUST00022,Asia,Singapore,Singapore,Retail
CUST00023,North America,USA,New York,Retail
CUST00024,Asia,Japan,Tokyo,Corporate
CUST00025,North America,Mexico,Guadalajara,Retail
CUST00026,North America,USA,Boston,Retail
CUST00027,Asia,Singapore,Singapore,Corporate
CUST00028,Europe,Spain,Madrid,Corporate
CUST00029,North America,USA,New York,E-commerce
CUST00030,Europe,Italy,Milan,Retail
CUST00031,North America,Mexico,Mexico City,Retail
CUST00032,Europe,France,Paris,Retail
CUST00033,Asia,Singapore,Singapore,E-commerce
CUST00034,North America,USA,Chicago,Corporate
CUST00035,Europe,France,Paris,Retail
CUST00036,Asia,Japan,Tokyo,Retail
CUST00037,Europe,Italy,Milan,Wholesale
CUST00038,North America,Mexico,Mexico City,Retail
CUST00039,Middle East,Saudi Arabia,Riyadh,Wholesale
CUST00040,Europe,Spain,Madrid,Corporate
CUST00041,Europe,UK,London,Retail
CUST00042,Europe,UK,Manchester,Wholesale
CUST00043,Asia,India,Delhi,Retail
CUST00044,Asia,Japan,Osaka,Retail
CUST00045,South America,Brazil,Rio de Janeiro,Wholesale
CUST00046,Europe,UK,Birmingham,Retail
CUST00047,Europe,Germany,Munich,Corporate
CUST00048,Asia,India,Chennai,Retail
CUST00049,Europe,UK,London,Corporate
CUST00050,North America,Canada,Vancouver,Retail
CUST00051,Europe,France,Paris,Corporate
CUST00052,Europe,UK,London,E-commerce
CUST00053,North America,Mexico,Mexico City,Retail
CUST00054,Asia,Singapore,Singapore,Corporate
CUST00055,Asia,Japan,Tokyo,Corporate
CUST00056,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00057,Europe,Italy,Rome,Corporate
CUST00058,Europe,Italy,Rome,Corporate
CUST00059,Middle East,UAE,Dubai,Retail
CUST00060,Middle East,Saudi Arabia,Riyadh,E-commerce
CUST00061,Asia,South Korea,Seoul,Retail
CUST00062,Asia,India,Mumbai,Retail
CUST00063,Asia,South Korea,Seoul,Corporate
CUST00064,Asia,Japan,Osaka,Retail
CUST00065,North America,Canada,Montreal,Retail
CUST00066,North America,Mexico,Mexico City,Retail
CUST00067,Asia,Singapore,Singapore,Corporate
CUST00068,North America,Canada,Toronto,E-commerce
CUST00069,North America,Mexico,Guadalajara,Wholesale
CUST00070,Asia,India,Pune,Retail
CUST00071,North America,Mexico,Mexico City,Wholesale
CUST00072,Middle East,Saudi Arabia,Riyadh,Retail
CUST00073,Europe,Germany,Hamburg,Wholesale
CUST00074,Asia,Japan,Osaka,E-commerce
CUST00075,South America,Brazil,Rio de Janeiro,Retail
CUST00076,North America,Mexico,Guadalajara,Wholesale
CUST00077,Asia,Singapore,Singapore,E-commerce
CUST00078,Europe,Netherlands,Rotterdam,Wholesale
CUST00079,Asia,South Korea,Seoul,E-commerce
CUST00080,Europe,UK,Manchester,Retail
CUST00081,South America,Argentina,Buenos Aires,Retail
CUST00082,Asia,South Korea,Seoul,E-commerce
CUST00083,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00084,North America,Canada,Vancouver,Retail
CUST00085,Asia,China,Beijing,Retail
CUST00086,North America,Mexico,Guadalajara,Wholesale
CUST00087,North America,Canada,Vancouver,Wholesale
CUST00088,Asia,Singapore,Singapore,Corporate
CUST00089,Asia,South Korea,Seoul,Corporate
CUST00090,Europe,Italy,Milan,E-commerce
CUST00091,Europe,Italy,Milan,Retail
CUST00092,Asia,Japan,Osaka,Wholesale
CUST00093,North America,USA,Seattle,Retail
CUST00094,Asia,China,Shenzhen,Wholesale
CUST00095,Asia,Japan,Tokyo,Wholesale
CUST00096,North America,USA,Los Angeles,Retail
CUST00097,Asia,India,Mumbai,E-commerce
CUST00098,Europe,UK,Manchester,Retail
CUST00099,North America,Mexico,Mexico City,E-commerce
CUST00100,Middle East,Saudi Arabia,Riyadh,Wholesale
CUST00101,Europe,Italy,Milan,Retail
CUST00102,North America,Mexico,Guadalajara,Corporate
CUST00103,Europe,Netherlands,Rotterdam,E-commerce
CUST00104,Asia,China,Shanghai,Corporate
CUST00105,Asia,India,Mumbai,Corporate
CUST00106,Asia,Singapore,Singapore,Retail
CUST00107,Asia,China,Shenzhen,Corporate
CUST00108,North America,Mexico,Guadalajara,Corporate
CUST00109,Middle East,UAE,Dubai,Retail
CUST00110,Asia,India,Chennai,E-commerce
CUST00111,Asia,China,Beijing,E-commerce
CUST00112,Asia,South Korea,Seoul,E-commerce
CUST00113,Asia,Singapore,Singapore,E-commerce
CUST00114,Europe,Spain,Barcelona,E-commerce
CUST00115,Asia,China,Shenzhen,Corporate
CUST00116,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00117,North America,Canada,Toronto,Corporate
CUST00118,Europe,Italy,Rome,Corporate
CUST00119,Europe,Spain,Barcelona,E-commerce
CUST00120,Asia,China,Beijing,Retail
CUST00121,Middle East,Saudi Arabia,Riyadh,E-commerce
CUST00122,Europe,Italy,Rome,Corporate
CUST00123,Asia,China,Beijing,Retail
CUST00124,Europe,France,Lyon,Retail
CUST00125,Europe,Spain,Madrid,Retail
CUST00126,Middle East,UAE,Dubai,E-commerce
CUST00127,North America,USA,Houston,Corporate
CUST00128,Asia,China,Shenzhen,Wholesale
CUST00129,North America,USA,New York,Retail
CUST00130,South America,Argentina,Buenos Aires,Wholesale
CUST00131,Middle East,Saudi Arabia,Riyadh,Wholesale
CUST00132,North America,Canada,Toronto,Retail
CUST00133,Middle East,UAE,Abu Dhabi,E-commerce
CUST00134,Asia,Singapore,Singapore,Retail
CUST00135,Europe,Spain,Barcelona,Wholesale
CUST00136,Middle East,Saudi Arabia,Riyadh,Retail
CUST00137,Europe,France,Lyon,Retail
CUST00138,Middle East,Saudi Arabia,Riyadh,Wholesale
CUST00139,North America,Mexico,Mexico City,Corporate
CUST00140,Europe,Netherlands,Amsterdam,Retail
CUST00141,Asia,Japan,Osaka,E-commerce
CUST00142,North America,Canada,Toronto,E-commerce
CUST00143,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00144,North America,Mexico,Guadalajara,E-commerce
CUST00145,North America,Mexico,Mexico City,Retail
CUST00146,Europe,Netherlands,Amsterdam,Retail
CUST00147,Middle East,UAE,Abu Dhabi,Corporate
CUST00148,Asia,South Korea,Seoul,Corporate
CUST00149,North America,USA,Boston,Retail
CUST00150,Asia,Singapore,Singapore,Corporate
CUST00151,Europe,Netherlands,Amsterdam,Wholesale
CUST00152,Europe,Germany,Munich,E-commerce
CUST00153,Europe,Netherlands,Rotterdam,Corporate
CUST00154,South America,Brazil,Rio de Janeiro,Retail
CUST00155,Asia,Japan,Osaka,Retail
CUST00156,North America,Canada,Vancouver,Corporate
CUST00157,North America,Canada,Vancouver,Retail
CUST00158,Asia,India,Chennai,Retail
CUST00159,Europe,Germany,Hamburg,Corporate
CUST00160,Europe,Spain,Madrid,Retail
CUST00161,South America,Argentina,Buenos Aires,Retail
CUST00162,Europe,Italy,Milan,Wholesale
CUST00163,Europe,Italy,Milan,Corporate
CUST00164,South America,Brazil,São Paulo,E-commerce
CUST00165,Asia,China,Shanghai,E-commerce
CUST00166,Europe,Spain,Madrid,Retail
CUST00167,Europe,UK,London,E-commerce
CUST00168,Europe,Netherlands,Amsterdam,Retail
CUST00169,North America,Mexico,Mexico City,Retail
CUST00170,Asia,Singapore,Singapore,Retail
CUST00171,Asia,Japan,Tokyo,Retail
CUST00172,Asia,South Korea,Seoul,Corporate
CUST00173,Asia,China,Beijing,Retail
CUST00174,South America,Brazil,São Paulo,Corporate
CUST00175,North America,Canada,Montreal,Retail
CUST00176,Asia,Singapore,Singapore,Retail
CUST00177,Asia,China,Shanghai,Retail
CUST00178,Asia,South Korea,Seoul,Retail
CUST00179,Asia,India,Hyderabad,Corporate
CUST00180,Asia,Japan,Tokyo,Retail
CUST00181,Europe,Spain,Madrid,Corporate
CUST00182,Asia,Japan,Osaka,Wholesale
CUST00183,North America,Mexico,Guadalajara,Retail
CUST00184,South America,Brazil,Rio de Janeiro,E-commerce
CUST00185,Asia,India,Chennai,Retail
CUST00186,North America,Canada,Toronto,Wholesale
CUST00187,Asia,Singapore,Singapore,Retail
CUST00188,Europe,Italy,Rome,Corporate
CUST00189,North America,Mexico,Mexico City,Retail
CUST00190,Europe,Netherlands,Amsterdam,Wholesale
CUST00191,Asia,South Korea,Seoul,Retail
CUST00192,North America,Mexico,Guadalajara,E-commerce
CUST00193,Europe,Netherlands,Rotterdam,Corporate
CUST00194,Asia,South Korea,Seoul,Retail
CUST00195,Europe,France,Paris,Retail
CUST00196,Asia,India,Bangalore,Retail
CUST00197,Asia,Singapore,Singapore,Retail
CUST00198,Asia,Singapore,Singapore,Retail
CUST00199,Asia,Japan,Tokyo,E-commerce
CUST00200,Europe,Netherlands,Rotterdam,Corporate
CUST00201,North America,USA,Houston,Corporate
CUST00202,Asia,China,Beijing,Corporate
CUST00203,Europe,France,Lyon,Wholesale
CUST00204,Europe,France,Lyon,Retail
CUST00205,Asia,South Korea,Seoul,Retail
CUST00206,North America,Mexico,Mexico City,Corporate
CUST00207,Europe,Germany,Berlin,E-commerce
CUST00208,North America,Mexico,Guadalajara,Retail
CUST00209,Asia,Singapore,Singapore,Retail
CUST00210,Asia,Singapore,Singapore,Retail
CUST00211,Asia,Singapore,Singapore,Retail
CUST00212,Asia,India,Bangalore,E-commerce
CUST00213,Asia,China,Beijing,Corporate
CUST00214,Europe,Italy,Milan,E-commerce
CUST00215,Asia,Japan,Osaka,Retail
CUST00216,Middle East,Saudi Arabia,Riyadh,E-commerce
CUST00217,North America,Canada,Montreal,Retail
CUST00218,Asia,South Korea,Seoul,Corporate
CUST00219,South America,Argentina,Buenos Aires,Corporate
CUST00220,Europe,France,Lyon,Retail
CUST00221,North America,Canada,Toronto,Retail
CUST00222,Asia,India,Hyderabad,Retail
CUST00223,Europe,UK,Manchester,Retail
CUST00224,Asia,India,Hyderabad,Corporate
CUST00225,Asia,South Korea,Seoul,Corporate
CUST00226,Asia,China,Shanghai,Corporate
CUST00227,Europe,Italy,Rome,Retail
CUST00228,Asia,Japan,Osaka,Retail
CUST00229,Asia,India,Delhi,E-commerce
CUST00230,Asia,Japan,Tokyo,Wholesale
CUST00231,Asia,Japan,Tokyo,Corporate
CUST00232,North America,Canada,Toronto,Corporate
CUST00233,Europe,Italy,Milan,Retail
CUST00234,Asia,Japan,Tokyo,E-commerce
CUST00235,North America,USA,Dallas,E-commerce
CUST00236,Asia,Japan,Tokyo,Wholesale
CUST00237,Middle East,Saudi Arabia,Riyadh,Retail
CUST00238,Asia,India,Pune,Wholesale
CUST00239,Europe,France,Lyon,Wholesale
CUST00240,Asia,Singapore,Singapore,Wholesale
CUST00241,Asia,Japan,Tokyo,Retail
CUST00242,Asia,India,Bangalore,Wholesale
CUST00243,North America,Canada,Toronto,Corporate
CUST00244,Europe,Germany,Munich,E-commerce
CUST00245,Europe,Netherlands,Amsterdam,Wholesale
CUST00246,Europe,Spain,Madrid,Retail
CUST00247,Europe,UK,London,Retail
CUST00248,North America,Mexico,Guadalajara,Corporate
CUST00249,Asia,India,Delhi,E-commerce
CUST00250,Europe,Germany,Hamburg,Corporate
CUST00251,South America,Argentina,Buenos Aires,Corporate
CUST00252,Asia,South Korea,Seoul,E-commerce
CUST00253,North America,Canada,Vancouver,Retail
CUST00254,Asia,Japan,Osaka,Wholesale
CUST00255,North America,Canada,Montreal,Corporate
CUST00256,South America,Brazil,São Paulo,Wholesale
CUST00257,Asia,China,Shenzhen,Retail
CUST00258,Asia,China,Beijing,Wholesale
CUST00259,Asia,India,Delhi,Corporate
CUST00260,North America,USA,Los Angeles,E-commerce
CUST00261,Asia,South Korea,Seoul,Wholesale
CUST00262,Asia,China,Shanghai,Wholesale
CUST00263,Asia,Singapore,Singapore,Retail
CUST00264,North America,Mexico,Guadalajara,Retail
CUST00265,Asia,Japan,Tokyo,Wholesale
CUST00266,North America,USA,Chicago,Corporate
CUST00267,North America,Mexico,Guadalajara,Corporate
CUST00268,Asia,Singapore,Singapore,Retail
CUST00269,Asia,China,Beijing,E-commerce
CUST00270,Europe,Italy,Milan,Retail
CUST00271,Europe,Netherlands,Amsterdam,E-commerce
CUST00272,Asia,South Korea,Seoul,Corporate
CUST00273,Europe,Italy,Milan,Corporate
CUST00274,Asia,Japan,Tokyo,E-commerce
CUST00275,Middle East,UAE,Dubai,Corporate
CUST00276,North America,USA,Seattle,E-commerce
CUST00277,North America,Canada,Montreal,Retail
CUST00278,Europe,Italy,Rome,Corporate
CUST00279,Europe,Netherlands,Amsterdam,Wholesale
CUST00280,Middle East,Saudi Arabia,Riyadh,E-commerce
CUST00281,Europe,Italy,Rome,Retail
CUST00282,Middle East,Saudi Arabia,Riyadh,Wholesale
CUST00283,Asia,Singapore,Singapore,E-commerce
CUST00284,South America,Brazil,Rio de Janeiro,Corporate
CUST00285,Europe,Italy,Rome,Retail
CUST00286,Asia,South Korea,Seoul,Retail
CUST00287,North America,USA,New York,Retail
CUST00288,Asia,China,Shenzhen,Retail
CUST00289,Europe,Spain,Madrid,E-commerce
CUST00290,Asia,Japan,Tokyo,Retail
CUST00291,North America,USA,Houston,Corporate
CUST00292,Asia,South Korea,Seoul,Corporate
CUST00293,Asia,Japan,Tokyo,Retail
CUST00294,Europe,Spain,Barcelona,Retail
CUST00295,South America,Argentina,Buenos Aires,Retail
CUST00296,Europe,Netherlands,Rotterdam,Corporate
CUST00297,Asia,Singapore,Singapore,Corporate
CUST00298,Asia,Japan,Tokyo,E-commerce
CUST00299,Asia,China,Beijing,Retail
CUST00300,Asia,Singapore,Singapore,E-commerce
CUST00301,Europe,France,Lyon,Corporate
CUST00302,Asia,South Korea,Seoul,Wholesale
CUST00303,Asia,Singapore,Singapore,E-commerce
CUST00304,Asia,Japan,Osaka,Retail
CUST00305,Asia,Japan,Tokyo,Corporate
CUST00306,Europe,Netherlands,Amsterdam,Retail
CUST00307,North America,Mexico,Guadalajara,Corporate
CUST00308,Europe,Netherlands,Amsterdam,Retail
CUST00309,Europe,UK,Birmingham,Corporate
CUST00310,Asia,Japan,Osaka,Retail
CUST00311,South America,Argentina,Buenos Aires,E-commerce
CUST00312,Europe,UK,Manchester,Retail
CUST00313,North America,Mexico,Mexico City,Retail
CUST00314,Asia,Japan,Osaka,Retail
CUST00315,North America,Mexico,Guadalajara,Corporate
CUST00316,Asia,India,Mumbai,Retail
CUST00317,Asia,South Korea,Seoul,Corporate
CUST00318,Asia,China,Beijing,Retail
CUST00319,North America,Mexico,Mexico City,Retail
CUST00320,North America,Mexico,Guadalajara,Retail
CUST00321,Asia,India,Delhi,Retail
CUST00322,North America,USA,Houston,E-commerce
CUST00323,North America,USA,Boston,Retail
CUST00324,North America,USA,Houston,Retail
CUST00325,Asia,Japan,Osaka,E-commerce
CUST00326,Asia,Singapore,Singapore,Retail
CUST00327,Asia,Singapore,Singapore,Retail
CUST00328,Asia,Singapore,Singapore,Corporate
CUST00329,Europe,Netherlands,Amsterdam,E-commerce
CUST00330,North America,Mexico,Mexico City,Retail
CUST00331,Asia,India,Bangalore,Retail
CUST00332,Europe,Netherlands,Rotterdam,Retail
CUST00333,North America,Mexico,Guadalajara,Retail
CUST00334,Europe,Germany,Munich,Retail
CUST00335,Asia,Japan,Osaka,E-commerce
CUST00336,North America,USA,Houston,Retail
CUST00337,South America,Argentina,Buenos Aires,Corporate
CUST00338,South America,Argentina,Buenos Aires,Wholesale
CUST00339,Europe,Netherlands,Rotterdam,Retail
CUST00340,Asia,China,Shenzhen,Corporate
CUST00341,North America,USA,Dallas,Retail
CUST00342,Asia,Singapore,Singapore,Wholesale
CUST00343,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00344,Asia,Japan,Osaka,Retail
CUST00345,Asia,Singapore,Singapore,E-commerce
CUST00346,Asia,China,Beijing,Corporate
CUST00347,Asia,India,Delhi,Corporate
CUST00348,North America,Mexico,Guadalajara,Wholesale
CUST00349,Asia,India,Chennai,Retail
CUST00350,Asia,India,Pune,E-commerce
CUST00351,South America,Argentina,Buenos Aires,Corporate
CUST00352,North America,Mexico,Mexico City,Corporate
CUST00353,Asia,Singapore,Singapore,E-commerce
CUST00354,Europe,Germany,Munich,Retail
CUST00355,Europe,France,Lyon,Retail
CUST00356,Asia,South Korea,Seoul,Wholesale
CUST00357,Asia,India,Bangalore,Corporate
CUST00358,Asia,South Korea,Seoul,Retail
CUST00359,Asia,Japan,Osaka,Retail
CUST00360,North America,Mexico,Mexico City,Retail
CUST00361,Europe,Spain,Madrid,Corporate
CUST00362,North America,USA,Boston,E-commerce
CUST00363,North America,Mexico,Guadalajara,Retail
CUST00364,Asia,China,Shenzhen,Retail
CUST00365,Europe,Germany,Munich,Retail
CUST00366,Europe,Germany,Hamburg,Corporate
CUST00367,Asia,India,Chennai,Wholesale
CUST00368,Asia,China,Shenzhen,Retail
CUST00369,North America,Canada,Toronto,Corporate
CUST00370,North America,USA,Chicago,Retail
CUST00371,Asia,India,Bangalore,Wholesale
CUST00372,North America,Canada,Vancouver,Corporate
CUST00373,Asia,Singapore,Singapore,Corporate
CUST00374,Europe,UK,Birmingham,Retail
CUST00375,South America,Argentina,Buenos Aires,Retail
CUST00376,Middle East,UAE,Dubai,Retail
CUST00377,Asia,India,Pune,Corporate
CUST00378,South America,Argentina,Buenos Aires,Wholesale
CUST00379,North America,Canada,Montreal,Corporate
CUST00380,North America,USA,Los Angeles,Wholesale
CUST00381,Asia,Singapore,Singapore,Corporate
CUST00382,Asia,Singapore,Singapore,E-commerce
CUST00383,Middle East,UAE,Abu Dhabi,Retail
CUST00384,North America,Canada,Montreal,E-commerce
CUST00385,Asia,South Korea,Seoul,Corporate
CUST00386,South America,Brazil,Rio de Janeiro,Retail
CUST00387,North America,Canada,Montreal,Retail
CUST00388,South America,Argentina,Buenos Aires,E-commerce
CUST00389,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00390,South America,Argentina,Buenos Aires,Wholesale
CUST00391,Asia,Singapore,Singapore,Wholesale
CUST00392,Asia,India,Delhi,Corporate
CUST00393,Asia,Singapore,Singapore,Retail
CUST00394,Asia,South Korea,Seoul,Corporate
CUST00395,Asia,Japan,Tokyo,Wholesale
CUST00396,Asia,Singapore,Singapore,Retail
CUST00397,Europe,Germany,Hamburg,Wholesale
CUST00398,Asia,India,Pune,Corporate
CUST00399,South America,Argentina,Buenos Aires,Corporate
CUST00400,Asia,China,Shenzhen,Retail
CUST00401,South America,Argentina,Buenos Aires,Retail
CUST00402,South America,Brazil,Rio de Janeiro,Corporate
CUST00403,Middle East,UAE,Dubai,Wholesale
CUST00404,Middle East,UAE,Abu Dhabi,Retail
CUST00405,North America,Canada,Toronto,Retail
CUST00406,Europe,Spain,Barcelona,Corporate
CUST00407,South America,Brazil,São Paulo,E-commerce
CUST00408,North America,Canada,Vancouver,Retail
CUST00409,Europe,Italy,Rome,Wholesale
CUST00410,Asia,China,Shanghai,Retail
CUST00411,Europe,UK,Birmingham,Retail
CUST00412,Asia,Japan,Osaka,Retail
CUST00413,Asia,China,Beijing,Retail
CUST00414,Middle East,Saudi Arabia,Riyadh,Retail
CUST00415,Europe,Italy,Rome,Corporate
CUST00416,Asia,India,Chennai,E-commerce
CUST00417,North America,USA,Los Angeles,Retail
CUST00418,Europe,UK,Birmingham,E-commerce
CUST00419,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00420,North America,USA,Seattle,Retail
CUST00421,Middle East,Saudi Arabia,Riyadh,Retail
CUST00422,Middle East,Saudi Arabia,Riyadh,Corporate
CUST00423,North America,Canada,Vancouver,Corporate
CUST00424,Asia,Japan,Osaka,Retail
CUST00425,Asia,Japan,Tokyo,Retail
CUST00426,North America,Mexico,Mexico City,Retail
CUST00427,Asia,Singapore,Singapore,E-commerce
CUST00428,South America,Argentina,Buenos Aires,E-commerce
CUST00429,Middle East,UAE,Abu Dhabi,Retail
CUST00430,Europe,Italy,Rome,Wholesale
CUST00431,North America,Mexico,Guadalajara,Retail
CUST00432,North America,USA,Los Angeles,Retail
CUST00433,Asia,India,Mumbai,Corporate
CUST00434,Europe,France,Lyon,Corporate
CUST00435,Asia,India,Mumbai,E-commerce
CUST00436,Asia,China,Shenzhen,Retail
CUST00437,South America,Brazil,Rio de Janeiro,E-commerce
CUST00438,South America,Argentina,Buenos Aires,Wholesale
CUST00439,North America,Mexico,Guadalajara,Corporate
CUST00440,Asia,South Korea,Seoul,Retail
CUST00441,Europe,Netherlands,Amsterdam,Retail
CUST00442,North America,Canada,Montreal,Corporate
CUST00443,Asia,Singapore,Singapore,Retail
CUST00444,North America,USA,Boston,Retail
CUST00445,South America,Argentina,Buenos Aires,Corporate
CUST00446,Europe,Netherlands,Rotterdam,Corporate
CUST00447,North America,USA,Seattle,Retail
CUST00448,North America,Canada,Toronto,Corporate
CUST00449,Asia,Japan,Osaka,E-commerce
CUST00450,North America,USA,Houston,Corporate
CUST00451,South America,Argentina,Buenos Aires,E-commerce
CUST00452,North America,USA,Seattle,Wholesale
CUST00453,North America,Canada,Toronto,Corporate
CUST00454,North America,Mexico,Mexico City,Wholesale
CUST00455,Asia,South Korea,Seoul,E-commerce
CUST00456,South America,Brazil,Rio de Janeiro,Retail
CUST00457,North America,USA,Los Angeles,Retail
CUST00458,Asia,South Korea,Seoul,Wholesale
CUST00459,Asia,India,Pune,Wholesale
CUST00460,North America,USA,Dallas,Corporate
CUST00461,Asia,China,Shanghai,Retail
CUST00462,North America,Canada,Toronto,E-commerce
CUST00463,North America,Mexico,Mexico City,Retail
CUST00464,North America,Canada,Toronto,Corporate
CUST00465,North America,USA,Dallas,Retail
CUST00466,North America,Canada,Toronto,Corporate
CUST00467,Middle East,UAE,Dubai,Retail
CUST00468,North America,USA,New York,E-commerce
CUST00469,Asia,Japan,Tokyo,E-commerce
CUST00470,North America,Mexico,Guadalajara,Retail
CUST00471,Asia,India,Delhi,Wholesale
CUST00472,Asia,Japan,Tokyo,Corporate
CUST00473,Asia,China,Shenzhen,Corporate
CUST00474,Asia,Singapore,Singapore,E-commerce
CUST00475,Middle East,UAE,Abu Dhabi,E-commerce
CUST00476,North America,Canada,Vancouver,Retail
CUST00477,North America,Mexico,Mexico City,Retail
CUST00478,Asia,Singapore,Singapore,Retail
CUST00479,Europe,Spain,Madrid,Wholesale
CUST00480,North America,Mexico,Guadalajara,Retail
CUST00481,Asia,Singapore,Singapore,E-commerce
CUST00482,Europe,Germany,Munich,Corporate
CUST00483,Asia,Singapore,Singapore,Wholesale
CUST00484,North America,Mexico,Mexico City,Retail
CUST00485,Asia,Singapore,Singapore,Corporate
CUST00486,North America,USA,New York,Retail
CUST00487,Middle East,Saudi Arabia,Riyadh,Retail
CUST00488,Europe,Germany,Berlin,E-commerce
CUST00489,Europe,France,Lyon,Corporate
CUST00490,Europe,Netherlands,Rotterdam,Retail
CUST00491,Middle East,Saudi Arabia,Riyadh,Retail
CUST00492,South America,Brazil,São Paulo,Retail
CUST00493,Asia,South Korea,Seoul,Retail
CUST00494,North America,Canada,Vancouver,Retail
CUST00495,South America,Brazil,Rio de Janeiro,Corporate
CUST00496,Middle East,Saudi Arabia,Riyadh,Retail
CUST00497,South America,Argentina,Buenos Aires,Wholesale
